name_eng,url
Jae Il Oh,https://www.baseball-reference.com/register/player.fcgi?id=oh----000jae
Yoon Suk Oh,https://www.baseball-reference.com/register/player.fcgi?id=oh----000yoo
ByungHo Park,https://www.baseball-reference.com/register/player.fcgi?id=park--000byu
Kyung Su Park,https://www.baseball-reference.com/register/player.fcgi?id=park--001kyu
Min-suk Park,https://www.baseball-reference.com/register/player.fcgi?id=park--005min
Se Jin Park,https://www.baseball-reference.com/register/player.fcgi?id=park--002sae
Si Young Park,https://www.baseball-reference.com/register/player.fcgi?id=park--000si-
Yeong Hyun Park,https://www.baseball-reference.com/register/player.fcgi?id=park--000yeo
Mel Rojas,https://www.baseball-reference.com/register/player.fcgi?id=rojas-002mel
Jae Heon Seong,https://www.baseball-reference.com/register/player.fcgi?id=seong-000jae
Woo Jun Shim,https://www.baseball-reference.com/register/player.fcgi?id=shim--000woo
Bon Ki Shin,https://www.baseball-reference.com/register/player.fcgi?id=shin--000bon
Hyeong Jun So,https://www.baseball-reference.com/register/player.fcgi?id=so----000hye
Dong Hyun Son,https://www.baseball-reference.com/register/player.fcgi?id=son---002don
Min Sub Song,https://www.baseball-reference.com/register/player.fcgi?id=song--001min
Sang Back Um,https://www.baseball-reference.com/register/player.fcgi?id=eom---000san
Sang Hyun Weon,https://www.baseball-reference.com/register/player.fcgi?id=weon--000san
Gyu-min Woo,https://www.baseball-reference.com/register/player.fcgi?id=wu----000gyu
Chung Myoung Yook,https://www.baseball-reference.com/register/player.fcgi?id=yook--000chu
Jun Hyeok Yun,https://www.baseball-reference.com/register/player.fcgi?id=yun---000jun
Ik Hun An,https://www.baseball-reference.com/register/player.fcgi?id=ahn---000ik-
Dong Hwan Choi,https://www.baseball-reference.com/register/player.fcgi?id=choi--000don
Myong Kyong Choi,https://www.baseball-reference.com/register/player.fcgi?id=choi--000myo
Seung Min Choi,https://www.baseball-reference.com/register/player.fcgi?id=choi--003seu
Won Tae Choi,https://www.baseball-reference.com/register/player.fcgi?id=choi--003won
Won Yeong Choi,https://www.baseball-reference.com/register/player.fcgi?id=choi--005won
Austin Dean,https://www.baseball-reference.com/register/player.fcgi?id=dean--000aus
Dietrich Enns,https://www.baseball-reference.com/register/player.fcgi?id=enns--000die
Bon Hyeok Gu,https://www.baseball-reference.com/register/player.fcgi?id=koo---001bon
Chang Geon Ham,https://www.baseball-reference.com/register/player.fcgi?id=ham---002cha
Deok Ju Ham,https://www.baseball-reference.com/register/player.fcgi?id=ham---000deo
Elieser Hernández,https://www.baseball-reference.com/register/player.fcgi?id=hernan002eli
Chang Ki Hong,https://www.baseball-reference.com/register/player.fcgi?id=hong--000cha
Do Hwan Hur,https://www.baseball-reference.com/register/player.fcgi?id=hur---000do-
Chan Kyu Im,https://www.baseball-reference.com/register/player.fcgi?id=lim---007cha
Jun Ho Jeon,https://www.baseball-reference.com/register/player.fcgi?id=jeon--001jun
Woo Young Jin,https://www.baseball-reference.com/register/player.fcgi?id=jin---000woo
Ji Heon Jung,https://www.baseball-reference.com/register/player.fcgi?id=jung--000jih
Woo Young Jung,https://www.baseball-reference.com/register/player.fcgi?id=jung--001woo
Hyo Jong Kang,https://www.baseball-reference.com/register/player.fcgi?id=kang--001hyo
Casey Kelly,https://www.baseball-reference.com/register/player.fcgi?id=kelly-001cas
Beom Seok Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---000beo
Dae Hyun Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---010dae
Dae Won Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---012dae
Hyun Jong Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---004hyu
Hyun Soo Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---004hye
Jin Su Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---021jin
Jin Sung Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---015jin
Ju Sung Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---007ju-
Min Su Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---022min
Sung Jin Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---011sun
Sung Woo Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---012sun
Tae Woo Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---036tae
Young Jun Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---016yeo
Yu Yeong Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---002yoo
Yun Sik Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---003yun
Ji Gang Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---000jig
Jong Jun Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---018jon
Ju Heon Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---002juh
Mit Eum Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---001mit
Sang Yung Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---026san
Woo Chan Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---009yeo
Young Bin Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---003you
Jun Hyeung Lim,https://www.baseball-reference.com/register/player.fcgi?id=lim---001jun
Bo Gyeong Moon,https://www.baseball-reference.com/register/player.fcgi?id=moon--000bog
